Almadies,1
Dakar Plateau,1
Diamniadio,5
Grand Dakar,1
Jaxaay,3
Malika,3
Parcelles Assainies,1
Pikine Dagoudane,4
Rufisque Est,5
Sam Notaire,2
Sangalkam,5
Thiaroye,4
Wakhinane Nimzatt,2
Yeumbeul,3
