BSK,"Biskra","Algérie"
BXO,"Bissau (Bissallanca)","Guinée Bissau"
BLZ,"Blantyre (Chilika)","Malawi"
BVB,"Boa Vista","Brésil"
BVC,"Boavista","Cap Vert"
BOO,"Bodo","Norvège"
BOG,"Bogota (Eldorado)","Colombie"
BLQ,"Bologna (Giuseppe Marconi)","Italie"
BOM,"Bombay (Ch. Shivaji Int.)","Inde"
BON,"Bonaire (Flamingo)","Antilles Néerl."
BNJ,"Bonn (Wahn)","Allemagne"
BOB,"Bora Bora","Polynésie Française"
BOD,"Bordeaux (Merignac)","France"
BOS,"Boston (Logan Internat.)","USA"
BOH,"Bournemouth","Angleterre"
BGZ,"Braga","Portugal"
BSB,"Brasilia Internacional","Brésil"
BTS,"Bratislava (Ivanka Airport)","Slovaquie"
XLW,"Bremen (Lemwerder)","Allemagne"
BRE,"Bremen (Nieuenland)","Allemagne"
BES,"Brest (Guipavas)","France"
BGI,"Bridgetown (G. Adams Int.)","Barbade"
BDS,"Brindisi (Casale)","Italie"
BNE,"Brisbane (International)","Australie"
BRS,"Bristol (Lulsgate)","Angleterre"
BVE,"Brive","France"
BRQ,"Brno","Rép. Tchèque"
BRU,"Bruxelles (National/Zaventem)","Belgique"
BQE,"Bubaque","Guinée Bissau"
BBU,"Bucarest (Baneasa Airport)","Roumanie"
OTP,"Bucarest (Otopeni)","Roumanie"
BUH,"Bucarest","Roumanie"
BUD,"Budapest (Ferihegyi)","Hongrie"
EZE,"Buenos Aires (Ezeiza)","Argentine"
AEP,"Buenos Aires (J. Newbery)","Argentine"
BUE,"Buenos Aires","Argentine"
BJM,"Bujumbura (International)","Burundi"
BHK,"Bukhara Airport","Ouzbékistan"
BOJ,"Burgas","Bulgarie"
CFR,"Caen (Carpiquet)","France"
CAG,"Cagliari (Elmas)","Italie"
ZAO,"Cahors","France"
CNS,"Cairns International","Australie"
CCU,"Calcutta (Dum Dum Internat.)","Inde"
YYC,"Calgary Internat. Airport","Canada"
CLY,"Calvi (Sainte Catherine)","France"
CPE,"Campeche (Alberto Ongay)","Mexique"
CBR,"Canberra","Australie"
CUN,"Cancun International","Mexique"
CEQ,"Cannes (Mandelieu)","France"
CAP,"Cap Haitien","Haiti"
CSK,"Cap Skirring","Sénégal"
CPT,"Cape Town (D.F. Malan)","Afrique du Sud"
YGF,"Cape Town (Youngsfield)","Af. du Sud"
PRJ,"Capri","Italie"
CCS,"Caracas (Aeropuerto Intern.)","Venezuela"
CCF,"Carcassonne","France"
CWL,"Cardiff (Rhoose)","Pays de Galles"
CTG,"Cartagena (Rafael Nunez)","Colombie"
CAS,"Casablanca (Metropolitan)","Maroc"
CMN,"Casablanca (Mohamed V)","Maroc"
DCM,"Castres","France"
CTA,"Catane (Fontanarossa)","Italie"
CCC,"Caya Coco","Cuba"
CUK,"Caye Caulker","Belize"
CAY,"Cayenne (Rochambeau)","Guyane"
CEB,"Cebu","Philippines"
CHH,"Chachapoyas","Pérou"
CMF,"Chambery (Aix Les Bains)","France"
CZX,"Changzhou","Chine"
CRL,"Charleroi (Gosselies)","Belgique"
CHR,"Châteauroux (Deols)","France"
CTU,"Chengdu","Chine"
CER,"Cherbourg (Maupertus)","France"
CNX,"Chiang Mai International","Thaïlande"
CEI,"Chiang Rai Internat. Airport","Thailande"
CGX,"Chicago (Meigs Airport)","USA"
CHI,"Chicago (Metropolitan Area)","USA"
MDW,"Chicago (Midway Airport)","USA"
ORD,"Chicago (O'Hare International)","USA"
UGN,"Chicago (Waukegan Regional)","USA"
CGT,"Chinguitti","Mauritanie"
JKH,"Chios","Grèce"
KIV,"Chisinau (Kishinev)","Moldavie"
CGP,"Chittagong (Patenga)","Bangladesh"
CHC,"Christchurch Int'l Airport","Nlle Zélande"
CFG,"Cienfuegos","Cuba"
CFE,"Clermont Ferrand (Aulnat)","France"
BKL,"Cleveland (Burke Lakefront Airport)","USA"
CNG,"Cognac","France"
CMR,"Colmar","France"
CGN,"Cologne/Bonn","Allemagne"
CMB,"Colombo (Katunayake)","Sri Lanka"
RML,"Colombo","Sri Lanka"
CZL,"Constantine (Ain El Bey)","Algérie"
CND,"Constanza (M. Kogainiceanu)","Roumanie"
CPD,"Coober Pedy","Australie"
RUY,"Copan","Honduras"
CPH,"Copenhagen (Kastrup)","Danemark"
RKE,"Copenhagen (Roskilde)","Danemark"
ODB,"Cordou (San Jeronimo)","Espagne"
ORK,"Cork","Irlande"
COO,"Cotonou (Cadjehoun)","Benin"
CZM,"Cozumel","Mexique"
CUE,"Cuenca","Equateur"
CUR,"Curacao (Hato)","Antilles Néerlandaises"
CUZ,"Cuzco","Pérou"
CZW,"Czestochowa","Pologne"
DAD,"Da Nang","Viêtnam"
DSS,"Dakar (AIBD)","Sénégal"
DKR,"Dakar (Yoff)","Sénégal"
DLM,"Dalaman","Turquie"
ADS,"Dallas (Addison Airport)","USA"
